OfficialCode,ProgramId,ProgramName
P2DL-T,252,Ph.D. (Bioinformatics) [Part Time Mode]
P2DS,493,Ph.D. (Molecular Biology and Genetic Engineering) [Full Time Mode]
P2DS-T,495,Ph.D. (Molecular Biology and Genetic Engineering) [Part Time Mode]
P301,6,Diploma in Business Administration (DBA)
P320-NN6,320,BBA (Financial Markets)<i> in tie up with</i><b> NSE Academy</b>
P320-NNAA,873,BBA (Artificial Intelligence and Machine Learning)
P320-NNAG,970,"BBA Tourism, Hospitality and Event Management"
P320-NNB,767,"BBA (Business Analytics) <i>In tie up with</i><b> Institute of Analytics (IoA),UK</b>"
P320-NNG,496,BBA (International Finance) In tie up with <b>US-CMA</b>
P320-NNM,636,BBA Airlines and Airport Management
P320-NNT,818,"BBA (Cargo, Logistics and Supply Chain Management)"
P320-NNV,826,BBA (International Accounting) <i>In tie up with</i> <b>UK-ACCA</b>
P320-NNX,833,BBA (Corporate Finance) <i>In tie up with</i> <b>US CPA </b>
P320-NNY,852,BBA (Digital Marketing and Artificial Intelligence)
P320-NNZ,853,BBA (Fintech and Artificial Intelligence) <i>in tie up with</i><b> PayTM</b>
P321,34,BBA (Bachelor of Business Administration)
P321-L,193,BBA (Bachelor of Business Administration) Lateral Entry
P321-Y,716,BBA [2+2 with International Credit Transfer Option]
P322,19,B.Com. (Bachelor of Commerce)
P322-L,189,B.Com. (Bachelor of Commerce) Lateral Entry
P322-NN2,448,B.Com. Management Accounting and International Finance Integrated with <b>US-CMA</b>
P322-NN6,827,B.Com. International Accounting Integrated with <b>UK-ACCA</b>
P322-NN7,834,B.Com. Corporate Finance Integrated with <b>US CPA</b>
P322-NNA,943,B.Com. Fintech and Artificial Intelligence <i> in tie up with </i><b> Paytm</b>
P322-Y,717,B.Com. [2+2 with International Credit Transfer Option]
P323-NN1,915,B.Sc. Economics
P324-LN8,887,B.Sc. Hotel and Hospitality Management [Lateral Entry]
P324-NN6,805,B.Sc. Culinary Arts
P324-NN8,886,B.Sc. Hotel and Hospitality Management
P325,28,"B.Sc. Airlines, Tourism and Hospitality"
P325-L,192,"B.Sc. Airlines, Tourism and Hospitality [Lateral Entry]"
P340-HNAE,914,BBA Hons./Hons. with Research (Bachelor of Business Administration)
P340-HNAH,967,BBA (Hons.) (Technology and Management) with Global Immersion
P340-HNAJ,1056,B.Sc. (Hons.) (Technology and Management) with Global Immersion
P342-HN9,916,B.Com. Hons./Hons. with Research (Bachelor of Commerce)
P343-HN2,917,B.Sc. Hons./Hons. with Research (Economics)
P344,40,Bachelor of Hotel Mngt and Catering Technology (BHMCT)
P344-L,206,Bachelor of Hotel Management and Catering Technology (BHMCT) Lateral Entry
P344-Y,718,Bachelor of Hotel Mgt and Catering Technology [2+2 with International Credit Transfer Option]
P362,115,M.Com. (Master of Commerce)
P363,119,M.Sc. Economics
P363-NN-1,837,M.A. Economics
P370-NN2F,95,MBA International Business
P370-NN3F,93,MBA Hospital and Healthcare Management
P370-NN6F,319,MBA Financial Markets <i>in tie up with</i><b> NSE Academy</b>
P370-NN7F,318,MBA Supply Chain and Logistics <i>in tie up with</i><b> CII Institute of Logistics</b>
P370-NNAB,876,MBA Data Science and Artificial intelligence
P370-NNAF,942,MBA Digital and Social Media Marketing
P370-NNBF,564,MBA Business Analytics <i>in knowledge partnership with</i><b> EY</b>
P370-NNZ,877,MBA Fintech and Artificial Intelligence
P371-NNAF,91,MBA (Master of Business Administration)
P371-YNAF,720,MBA [1+1 with International Credit Transfer Option]
P375-NN3,878,"MBA Tourism, Aviation and Hospitality"
P390-NE,912,Integrated BBA - MBA
P391-HH,79,"BBA, LL.B. Hons."
P3D1,224,Ph.D. (Management) [Full Time Mode]
P3D1-T,225,Ph.D. (Management) [Part Time Mode]
P3D2,216,Ph.D. (Commerce) [Full Time Mode]
P3D2-T,217,Ph.D. (Commerce) [Part Time Mode]
P3D3,218,Ph.D. (Economics) [Full Time Mode]
P3D3-T,220,Ph.D. (Economics) [Part Time Mode]
P3D4,422,Ph.D. (Hotel Management) [Full Time Mode]
P3D4-T,425,Ph.D. (Hotel Management) [Part Time Mode]
P3D5-NN1,473,Ph.D. (Tourism Management) [Full Time Mode]
P3D5-TN1,474,Ph.D. (Tourism Management) [Part Time Mode]
P41B,391,Diploma Library and information Sciences (D. Lib.I.Sc.)
P420,17,Bachelor of Arts (B.A.)
P420-NN7,1109,B.A. (Social Sciences)
P421,335,B.A. Fine Arts
P422-NN5,482,B.A. Music Vocal
P422-NN7,484,B.A. Theatre
P42I,1102,B.Sc. (Public Policy) <i>in tie up with</i><b> CRISP (Centre for Research in Schemes and Policies)</b>
P42K,839,Bachelor of Social Work (BSW)
P440-HN4,920,B.A. Hons./Hons. with Research (Bachelor of Arts)
P441,38,Bachelor of Fine Arts (BFA)
P442-NN5,485,BPA Music Vocal
P442-NN7,487,BPA Theatre
P44A-NN3,1076,Bachelor of Psychology (B.Psy)
P44G-HN2,936,Bachelor in Clinical Psychology (B.Clin. Psy) with Rehabilitation Council Of India (RCI Approved)
P44K-H,883,BSW Hons./Hons. with Research (Bachelor of Social Work)
P463,139,M.A. English
P464,141,M.A. Punjabi
P465,372,M.A. Hindi
P466,100,M.A. History
P467,156,M.A. Sociology
P468,155,M.A. Political Science
P469-NN1,109,M.Sc. Geography
P46A,98,M.A. Psychology
P46A-NN2,749,M.Sc. Forensic Psychology
P46A-NN5,1103,M.A. Counselling Psychology
P46C,1081,M.A. Applied Psychology
P46G-NN2A,931,Master in Clinical Psychology (M.Clin. Psy) with Rehabilitation Council Of India (RCI Approved)
P46I-NN1,1082,M.Sc. (Public Policy) <i>in tie up with</i><b> CRISP (Centre for Research in Schemes and Policies)</b>
P46K,505,Master of Social Work (MSW)
P471,355,Master of Fine Arts (MFA)
P472,726,Master of Performing Arts (MPA)
P490-HH,77,"B.A., LL.B. Hons."
P490-NK5,944,B.A. B.Ed. (Secondary Stage) - Four Year Integrated Teacher Education Programme (ITEP)
P49M-NK2,978,B.A. B.Ed. Spl. Ed. (Multiple Disability – Preparatory Stage) - ISITEP
P4AB,177,Bachelor of Library and information Sciences (B. Lib. I.Sc.)
P4AE,179,LL.B.
P4BB,373,Master of Library and information Sciences (M. Lib. I. Sc.)
P4BE-NN1,708,LL.M.
P4D1,403,Ph.D. (Fine Arts) [Full Time Mode]
P4D1-T,402,Ph.D. (Fine Arts) [Part Time Mode]
P4D2-NN1,533,Ph.D. (Performing Arts-Music) [Full Time Mode]
P4D2-NNA,535,Ph.D. (Performing Arts-Theatre) [Full Time Mode]
P4D2-TN1,534,Ph.D. (Performing Arts-Music) [Part Time Mode]
P4D2-TNA,536,Ph.D. (Performing Arts-Theatre) [Part Time Mode]
P4D3,219,Ph.D. (English) [Full Time Mode]
P4D3-T,221,Ph.D. (English) [Part Time Mode]
P4D4,396,Ph.D. (Punjabi) [Full Time Mode]
P4D4-T,397,Ph.D. (Punjabi) [Part Time Mode]
P4D5,399,Ph.D. (Hindi) [Full Time Mode]
P4D5-T,398,Ph.D. (Hindi) [Part Time Mode]
P4D6,280,Ph.D. (History) [Full Time Mode]
P4D6-T,281,Ph.D. (History) [Part Time Mode]
P4D7,334,Ph.D. (Sociology) [Full Time Mode]
P4D7-T,333,Ph.D. (Sociology) [Part Time Mode]
P4D8,424,Ph.D. (Political Science) [Full Time Mode]
P4D8-T,427,Ph.D. (Political Science) [Part Time Mode]
P4D9,400,Ph.D. (Geography) [Full Time Mode]
P4D9-T,401,Ph.D. (Geography) [Part Time Mode]
P4DA,282,Ph.D. (Psychology) [Full Time Mode]
P4DA-T,283,Ph.D. (Psychology) [Part Time Mode]
P4DB,460,Ph.D. (Library Science) [Full Time Mode]
P4DB-T,461,Ph.D. (Library Science) [Part Time Mode]
P4DE,423,Ph.D. (Law) [Full Time Mode]
P4DE-T,426,Ph.D. (Law) [Part Time Mode]
P4DF,507,Ph.D. (Public Administration) [Full Time Mode]
P4DF-T,508,Ph.D. (Public Administration) [Part Time Mode]
P4DK,825,Ph.D. (Social Work) [Full Time Mode]
P4DK-T,881,Ph.D. (Social Work) [Part Time]
P501,1,Diploma Medical Lab. Technology (DMLT)
P521-L,204,B.Sc. Medical Laboratory Technology [Lateral Entry]
P521-LN5,959,B.Sc. Optometry [Lateral Entry]
P521-LN6,962,B.Sc. Anaesthesia and Operation Theatre Technology [Lateral Entry]
P521-LN7,966,B.Sc. Cardiovascular Technology [Lateral Entry]
P521-LNC,964,B.Sc. Medical Radiology and Imaging Technology [Lateral Entry]
