official_code,eligibility_base,row_label
P137-Y,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P137-NN3,After 10+2 (12th),B.Tech. CSE- Data Science with ML/ B.Tech . (CSE- Cloud Computing and Gen AI)/ B.Tech. (CSE - Artificial Intelligence and Data Science)/ B.Tech. (ECE - Semiconductor and VLSI Design)/ B.Tech (ECE - Artificial Intelligence and Automation)/ B.Tech (Civil - AI and ML)
P136,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P13A,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P13AF,After 10+2 (12th),B.Tech. (Robotics and Automation)
P131,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P131-Y,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P131-NN4,After 10+2 (12th),B.Tech (Genetics and Artificial Intelligence)
P13Q,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P13O,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P139,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P139-Y,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P13C,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P124,After 10+2 (12th),BCA
P124-NN9,After 10+2 (12th),BCA (Cyber Security)
P124-NN8,After 10+2 (12th),BCA (Data Science) in tieup with IBM
P124-NN7,After 10+2 (12th),BCA (Artificial Intelligence and Machine Learning)
P124-NNA,After 10+2 (12th),BCA (Artificial Intelligence and Data Analytics)
P124-NNC,After 10+2 (12th),BCA (AI and Robotics)
P22A-NN9,After 10+2 (12th),B.Sc. (Computer Science - Cyber Security)
P123,After 10+2 (12th),B.Sc. (IT)/ B Sc (IT) [2+2 with international credit transfer option]
P123-Y,After 10+2 (12th),B.Sc. (IT)/ B Sc (IT) [2+2 with international credit transfer option]
P24B-H,After 10+2 (12th),B.Sc. (Hons.) Agriculture
P244-HN3,After 10+2 (12th),B.Sc. (Hons.)/(Hons with Research) Food Technology
P224,After 10+2 (12th),B.Sc. (Food Technology)
P245-HN1,After 10+2 (12th),Bachelor of Nutrition and Dietetics (Honours)
P240-HN3,After 10+2 (12th),B.Sc. (Hons.)/(Hons with Research) Biotechnology
P220,After 10+2 (12th),B.Sc. (Biotechnology)
P243-HN3,After 10+2 (12th),B.Sc. (Hons.)/(Hons with Research) Microbiology
P223,After 10+2 (12th),B.Sc. (Microbiology)
P24G-H,After 10+2 (12th),B.Sc. (Hons.)/(Hons with Research) Forensic Sciences
P22G,After 10+2 (12th),B.Sc. (Forensic Science)
P24A-HNB,After 10+2 (12th),B.Sc. (Hons.)/(Hons with Research) Zoology
P22A-NN5,After 10+2 (12th),B.Sc. (Zoology)
P24A-HNC,After 10+2 (12th),B.Sc. (Hons.)/(Hons with Research) Physics
P22A-NN7,After 10+2 (12th),B.Sc. (Physics)
P24A-HND,After 10+2 (12th),B.Sc. (Hons.)/(Hons with Research) Chemistry
P22A-NN6,After 10+2 (12th),B.Sc. (Chemistry)
P24A-HNE,After 10+2 (12th),B.Sc. (Hons.)/(Hons with Research) Mathematics
P22A-NN8,After 10+2 (12th),B.Sc. (Mathematics)
P321,After 10+2 (12th),BBA/ BBA [ 2+2 with international credit transfer option]
P321-Y,After 10+2 (12th),BBA/ BBA [ 2+2 with international credit transfer option]
P340-HNAE,After 10+2 (12th),BBA (Hons.)/ (Hons. with Research)
P340-HNAH,After 10+2 (12th),BBA (Hons.) (Technology and Management) with Global Immersion
P390-NE,After 10+2 (12th),Integrated BBA-MBA
P320-NN6,After 10+2 (12th),BBA (Financial Markets)
P320-NNG,After 10+2 (12th),BBA (International Finance)
P320-NNB,After 10+2 (12th),BBA (Business Analytics)
P320-NNV,After 10+2 (12th),BBA (International Accounting)
P320-NNX,After 10+2 (12th),BBA (Corporate Finance)
P320-NNY,After 10+2 (12th),BBA (Digital Marketing and Artificial Intelligence)
P320-NNZ,After 10+2 (12th),BBA (Fintech and Artificial Intelligence)
P320-NNAA,After 10+2 (12th),BBA (Artificial Intelligence and Machine Learning)
P320-NNT,After 10+2 (12th),"BBA (Cargo, Logistics, and Supply Chain Management)"
P322,After 10+2 (12th),B.Com./ B.Com [2+2 with international credit transfer option]
P322-Y,After 10+2 (12th),B.Com./ B.Com [2+2 with international credit transfer option]
P342-HN9,After 10+2 (12th),B.Com. (Hons.)/ (Hons. with Research)
P322-NN2,After 10+2 (12th),B.Com. (Management Accounting and International Finance )
P322-NN6,After 10+2 (12th),B.Com. (International Accounting)
P322-NN7,After 10+2 (12th),B.Com. (Corporate Finance)
P322-NNA,After 10+2 (12th),B.Com. (Fintech and Artificial Intelligence)
P323-NN1,After 10+2 (12th),B.Sc. (Economics)
P343-HN2,After 10+2 (12th),B.Sc. (Hons.)/(Hons with Research) Economics
P490-HH,After 10+2 (12th),B.A. LL.B.(Hons.)
P391-HH,After 10+2 (12th),BBA LL.B. (Hons.)
P325,After 10+2 (12th),"B.Sc. (Airlines, Tourism and Hospitality)"
P320-NNAG,After 10+2 (12th),"BBA (Tourism, Hospitality and Event Management)"
P320-NNM,After 10+2 (12th),BBA (Airlines and Airport Management)
P324-NN8,After 10+2 (12th),B.Sc (Hotel and Hospitality Management)
P344,After 10+2 (12th),Bachelor of Hotel Mgt. and Catering Technology (BHMCT)/ Bachelor of Hotel Mgt and Catering Technology (BHMCT) / [ 2+2 with international credit transfer option]
P344-Y,After 10+2 (12th),Bachelor of Hotel Mgt. and Catering Technology (BHMCT)/ Bachelor of Hotel Mgt and Catering Technology (BHMCT) / [ 2+2 with international credit transfer option]
P324-NN6,After 10+2 (12th),B.Sc. (Culinary Arts)
P741,After 10+2 (12th),B.Arch.
P793-ND2,After 10+2 (12th),Integrated B.Tech - M.Tech (Urban and Regional Planning)
P722-NNJ,After 10+2 (12th),B.Sc. (Interior and Furniture Design)
P742-NN1,After 10+2 (12th),B.Design (Interior and Furniture)
P742-NN2,After 10+2 (12th),B.Design (Product and Industrial )
P742-NNM,After 10+2 (12th),B.Design (UI/UX)
P722-NNF,After 10+2 (12th),B.Sc. (Fashion Design)
P742-NN3,After 10+2 (12th),B.Design (Fashion )/ B Design (Fashion) [ 2+2 with international credit transfer option]
P742-YN3,After 10+2 (12th),B.Design (Fashion )/ B Design (Fashion) [ 2+2 with international credit transfer option]
P722-NNL,After 10+2 (12th),B.Sc. (Animation and VFX Design)
P742-NNL,After 10+2 (12th),B.Design (Animation and VFX)
P722-NNG,After 10+2 (12th),B.Sc. (Gaming Design)
P742-NN8,After 10+2 (12th),B.Design (Gaming)
P722-NNH,After 10+2 (12th),B.Sc. (Graphics Design)
P742-NN5,After 10+2 (12th),B.Design (Graphics)
P421,After 10+2 (12th),B.A. (Fine Arts)
P441,After 10+2 (12th),Bachelor of Fine Arts (BFA)
P724,After 10+2 (12th),B.A. (Journalism and Mass Communication)
P727,After 10+2 (12th),B.Sc. (Film and TV Production )
P742-NN6,After 10+2 (12th),B.Design (Film and TV Production )
P41B,After 10+2 (12th),Diploma in Library and Information Sciences
P422-NN5,After 10+2 (12th),B.A. (Music Vocal/ Theatre)
P422-NN7,After 10+2 (12th),B.A. (Music Vocal/ Theatre)
P442-NN5,After 10+2 (12th),BPA (Music Vocal/ Theatre)
P442-NN7,After 10+2 (12th),BPA (Music Vocal/ Theatre)
P44G-HN2,After 10+2 (12th),Bachelor in Clinical Psychology (B.Clin. Psy)
P44A-NN3,After 10+2 (12th),Bachelor of Psychology (B.Psy)
P420,After 10+2 (12th),Bachelor of Arts (B.A.)
P440-HN4,After 10+2 (12th),B.A. (Hons.)/ (Hons. with Research)
P420-NN7,After 10+2 (12th),B.A. (Social Science)
P42K,After 10+2 (12th),Bachelor of Social Work (BSW)
P44K-H,After 10+2 (12th),Bachelor of Social Work (Hons.)/ (Hons with Research)
P42I,After 10+2 (12th),B.Sc. (Public Policy)
P622,After 10+2 (12th),B.Sc. (Health and Physical Education) (3 Years)
P625,After 10+2 (12th),Bachelor of Physical Education and Sports (BPES)
P49M-NK2,After 10+2 (12th),B.A. B.Ed. Spl. Ed. (Multiple Disability – Preparatory Stage) - (ISITEP)
P490-NK5,After 10+2 (12th),B.A. B.Ed. (Secondary Stage) - Four Year Integrated Teacher Education Programme (ITEP)
P29A-NKF,After 10+2 (12th),B.Sc. B.Ed. (Secondary Stage) - Four Year Integrated Teacher Education Programme (ITEP)
P540-NNN-D,After 10+2 (12th),B.Pharm.
P5K0-NNKA,After 10+2 (12th),Pharm. D (Doctor of Pharmacy)
P542-NNCA,After 10+2 (12th),Bachelor of Physiotherapy (B.PT)
P541-NNJ,After 10+2 (12th),Bachelor of Medical Laboratory Science
P541-NNK,After 10+2 (12th),Bachelor of Anaesthesia and Operation Theatre Technology
P541-NND,After 10+2 (12th),Bachelor of Optometry
P541-NNH,After 10+2 (12th),Bachelor of Cardiovascular Technology
P541-NNE,After 10+2 (12th),Bachelor of Medical Radiology and Imaging Technology
P548,After 10+2 (12th),B.Sc. (Clinical Embryology)
P105-L,Lateral Entry/Other Programmes(After ITI etc),Diploma (Engg.) [Lateral Entry]
P102-L,Lateral Entry/Other Programmes(After ITI etc),Diploma (Engg.) [Lateral Entry]
