Programme Name,Programme Code,Matched Bucket,Dates
Ph.D. (Law) [Full Time],P4DE,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Law) [Part Time],P4DE-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Planning) [Full Time],P7D3,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Planning) [Part Time],P7D3-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Architecture) [Full Time],P7D1,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Architecture) [Part Time],P7D1-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Library Science) [Full Time],P4DB,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Library Science) [Part Time],P4DB-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Fashion) [Full Time],P7D2-NN3,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Fashion) [Part Time],P7D2-TN3,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Interior and Furniture Design) [Full Time],P7D2-NN1,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Interior and Furniture Design) [Part Time],P7D2-TN1,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Product and Industrial Design) [Full Time],P7D2-NN2,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Product and Industrial Design) [Part Time],P7D2-TN2,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (User Experience) [Full Time],P7D2-NN9,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (User Experience) [Part Time],P7D2-TN9,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Fine Arts) [Full Time],P4D1,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Fine Arts) [Part Time],P4D1-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Performing Arts-Music) [Full Time],P4D2-NN1,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Performing Arts-Music) [Part Time],P4D2-TN1,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Performing Arts-Theatre) [Full Time],P4D2-NNA,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Performing Arts-Theatre) [Part Time],P4D2-TNA,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Psychology) [Full Time],P4DA,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Psychology) [Part Time],P4DA-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Journalism and Mass Communication) [Full Time],P7D4,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Journalism and Mass Communication) [Part Time],P7D4-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Film and TV Production) [Full Time],P7D2-NN6,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Film and TV Production) [Part Time],P7D2-TN6,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (English) [Full Time],P4D3,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (English) [Part Time],P4D3-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Political Science) [Full Time],P4D8,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Political Science) [Part Time],P4D8-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Sociology) [Full Time],P4D7,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Sociology) [Part Time],P4D7-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Social Work) [Full Time],P4DK,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Social Work) [Part Time],P4DK-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (History) [Full Time],P4D6,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (History) [Part Time],P4D6-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Hindi) [Full Time],P4D5,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Hindi) [Part Time],P4D5-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Geography) [Full Time],P4D9,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Geography) [Part Time],P4D9-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Education) [Full Time],P6D1,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Education) [Part Time],P6D1-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Public Administration) [Full Time],P4DF,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Public Administration) [Part Time],P4DF-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Physical Education) [Full Time],P6D2,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Physical Education) [Part Time],P6D2-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
