Programme Name,Programme Code,Matched Bucket,Dates
B.Tech. (Automobile Engineering),P139,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Automobile Engineering) [ 2+2 with international credit transfer option],P139-Y,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Chemical Engineering),P13C,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
BCA,P124,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BCA (Cyber Security),P124-NN9,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BCA (Data Science),P124-NN8,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BCA (Artificial Intelligence and Machine Learning),P124-NN7,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BCA (Artificial Intelligence and Data Analytics),P124-NNA,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BCA (AI and Robotics),P124-NNC,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Computer Science - Cyber Security),P22A-NN9,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Information Technology),P123,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B Sc (IT) [2+2 with international credit transfer option],P123-Y,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hons.) Agriculture,P24B-H,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Sc. (Hons.)/ (Hons with Research) Food Technology,P244-HN3,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Food Technology),P224,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Nutrition and Dietetics (Honours),P245-HN1,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hons.)/ (Hons with Research) Biotechnology,P240-HN3,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Biotechnology),P220,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hons.)/ (Hons with Research) Microbiology,P243-HN3,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Microbiology),P223,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hons.)/ (Hons with Research) Forensic Sciences,P24G-H,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Forensic Sciences),P22G,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hons.)/ (Hons with Research) Zoology,P24A-HNB,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Zoology),P22A-NN5,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hons.)/ (Hons with Research) Physics,P24A-HNC,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Physics),P22A-NN7,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hons.)/ (Hons with Research) Chemistry,P24A-HND,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Chemistry),P22A-NN6,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hons.)/ (Hons with Research) Mathematics,P24A-HNE,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Mathematics),P22A-NN8,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BBA,P321,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BBA [ 2+2 with international credit transfer option],P321-Y,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
