eligibility_base,row_label,base_fee,phase1_A,phase1_B,phase1_C,phase1_D,phase2_A,phase2_B,phase2_C,phase2_D,phase3_A,phase3_B,phase3_C,phase3_D,phase4_A,phase4_B,phase4_C,phase4_D,phase5_A,phase5_B,phase5_C,phase5_D
After 10+2,B.Com. (Corporate Finance),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,50000.0,60000.0,70000.0,44999.99999999999,55000.00000000001,65000.0,75000.0,50000.0,60000.0,70000.0,80000.0,55000.0,65000.0,75000.0,85000.0
After 10+2,B.Com. (Fintech and Artificial Intelligence),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,50000.0,60000.0,70000.0,44999.99999999999,55000.00000000001,65000.0,75000.0,50000.0,60000.0,70000.0,80000.0,55000.0,65000.0,75000.0,85000.0
After 10+2,B.Sc. (Economics),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Hons.)/(Hons with Research) Economics,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,"Bachelor of Hotel Mgt. and Catering Technology (BHMCT)/ Bachelor of Hotel Mgt and Catering Technology (BHMCT) 
[ 2+2 with international credit transfer option] 
Note:- For Int . Credit Transfer Option INR 50,000 as International Transfer Fee additionally to be paid with 1st Semster Fee.",80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc (Hotel and Hospitality Management),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Culinary Arts),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,50000.0,60000.0,70000.0,44999.99999999999,55000.00000000001,65000.0,75000.0,50000.0,60000.0,70000.0,80000.0,55000.0,65000.0,75000.0,85000.0
After 10+2,"B.Sc. (Airlines, Tourism and Hospitality)",80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,"BBA (Tourism, Hospitality and Event Management)",80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,BBA (Airlines and Airport Management),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,"B.Arch.
Note:- For NASA registration additional INR 1,000 to be paid with 2nd Semster Fee.",120000.0,48000.0,60000.0,72000.0,84000.0,48000.0,60000.0,72000.0,84000.0,53999.99999999999,66000.0,78000.0,90000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0
After 10+2,Integrated B.Tech - M.Tech (Urban and Regional Planning),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Interior and Furniture Design),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Design (Interior and Furniture),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Design  (Product and Industrial ),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Design (UI/UX),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Sc. (Fashion Design),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,"B.Design (Fashion )/ B Design (Fashion)  [ 2+2 with international credit transfer option]
Note:- For Int . Credit Transfer Option INR 50,000 as International Transfer Fee additionally to be paid with 1st Semster Fee.",140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Sc. (Animation and VFX Design),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Design (Animation and VFX),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Sc. (Graphics Design),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Design (Graphics),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Sc. (Gaming Design),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Design (Gaming),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.Sc. (Film and TV Production ),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Design (Film and TV Production ),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.A. LL.B.(Hons.),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,BBA LL.B. (Hons.),140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
After 10+2,B.A. (Fine Arts),50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,Bachelor of Fine Arts (BFA),50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,B.A. (Journalism and Mass Communication),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.A. (Music Vocal/ Theatre),50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,BPA (Music Vocal/  Theatre),50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,Bachelor in Clinical Psychology (B.Clin. Psy),160000.0,104000.0,112000.0,120000.0,128000.0,104000.0,112000.0,120000.0,128000.0,104000.0,112000.0,120000.0,128000.0,104000.0,112000.0,120000.0,128000.0,104000.0,112000.0,120000.0,128000.0
After 10+2,Bachelor of Psychology (B.Psy),80000.0,40000.0,48000.0,56000.0,64000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0,48000.0,56000.0,64000.0,72000.0,52000.0,60000.0,68000.0,72000.0
After 10+2,Diploma in Library and Information Sciences,10000.0,10000.0,,,,10000.0,,,,10000.0,,,,10000.0,,,,10000.0,,,
