official_code,base_saarc,base_zone1,base_zone2,saarc_A,saarc_B,saarc_C,zone1_A,zone1_B,zone1_C,zone2_A,zone2_B,zone2_C
P137-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P137-LN1,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P136-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P13A-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P13AF-L,180000.0,2500.0,4000.0,72000.0,90000.0,108000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P131-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P13Q-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P139-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P13E-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P13C-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P13O-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P124-L,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P123-L,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P321-L,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P322-L,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P324-LN8,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P344-L,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P325-L,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P722-LNJ,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-LN1,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-LN2,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
