official_code,eligibility_base,row_label,status,reason
P24A-HNC,After 10+2 (12th),b sc hons hons with research physics,HIGH,Exact normalized match.
P22A-NN7,After 10+2 (12th),b sc hons hons with research physics,HIGH,Exact normalized match.
P24A-HND,After 10+2 (12th),b sc hons hons with research chemistry,HIGH,Exact normalized match.
P22A-NN6,After 10+2 (12th),b sc hons hons with research chemistry,HIGH,Exact normalized match.
P24A-HNE,After 10+2 (12th),b sc hons hons with research mathematics,HIGH,Exact normalized match.
P22A-NN8,After 10+2 (12th),b sc hons hons with research mathematics,HIGH,Exact normalized match.
P321,After 10+2 (12th),bba hons hons with research,HIGH,Exact normalized match.
P321-Y,After 10+2 (12th),bba 3yrs including with international credit transfer option,HIGH,Exact normalized match.
P340-HNAE,After 10+2 (12th),bba hons hons with research,HIGH,Exact normalized match.
P340-HNAH,After 10+2 (12th),bba hons technology and management with global immersion,HIGH,Exact normalized match.
P390-NE,After 10+2 (12th),integrated bba mba,HIGH,Exact normalized match.
P320-NN6,After 10+2 (12th),bba financial markets,HIGH,Exact normalized match.
P320-NNG,After 10+2 (12th),bba international finance,HIGH,Exact normalized match.
P320-NNB,After 10+2 (12th),bba business analytics,HIGH,Exact normalized match.
P320-NNV,After 10+2 (12th),bba international accounting,HIGH,Exact normalized match.
P320-NNX,After 10+2 (12th),bba corporate finance,HIGH,Exact normalized match.
P320-NNY,After 10+2 (12th),bba digital marketing and artificial intelligence,HIGH,Exact normalized match.
P320-NNZ,After 10+2 (12th),bba fintech and artificial intelligence,HIGH,Exact normalized match.
P320-NNAA,After 10+2 (12th),bba artificial intelligence and machine learning,HIGH,Exact normalized match.
P320-NNT,After 10+2 (12th),bba cargo logistics and supply chain management,HIGH,Exact normalized match.
P322,After 10+2 (12th),b com hons hons with research,HIGH,Exact normalized match.
P322-Y,After 10+2 (12th),b com including with international credit transfer option,HIGH,Exact normalized match.
P342-HN9,After 10+2 (12th),b com hons hons with research,HIGH,Exact normalized match.
P322-NN2,After 10+2 (12th),b com management accounting and international finance,HIGH,Exact normalized match.
P322-NN6,After 10+2 (12th),b com international accounting,HIGH,Exact normalized match.
P322-NN7,After 10+2 (12th),b com corporate finance,HIGH,Exact normalized match.
P322-NNA,After 10+2 (12th),b com fintech and artificial intelligence,HIGH,Exact normalized match.
P323-NN1,After 10+2 (12th),b sc hons hons with research economics,HIGH,Exact normalized match.
P343-HN2,After 10+2 (12th),b sc hons hons with research economics,HIGH,Exact normalized match.
P490-HH,After 10+2 (12th),b a ll b hons,HIGH,Exact normalized match.
P391-HH,After 10+2 (12th),bba ll b hons,HIGH,Exact normalized match.
P325,After 10+2 (12th),b sc airlines tourism and hospitality,HIGH,Exact normalized match.
P320-NNAG,After 10+2 (12th),bba tourism hospitality and event management,HIGH,Exact normalized match.
P320-NNM,After 10+2 (12th),bba airlines and airport management,HIGH,Exact normalized match.
P324-NN8,After 10+2 (12th),b sc hotel and hospitality management,HIGH,Exact normalized match.
P344,After 10+2 (12th),bhmct including with international credit transfer option,HIGH,Exact normalized match.
P344-Y,After 10+2 (12th),bhmct including with international credit transfer option,HIGH,Exact normalized match.
P324-NN6,After 10+2 (12th),b sc culinary arts,HIGH,Exact normalized match.
P741,After 10+2 (12th),b arch,HIGH,Exact normalized match.
P793-ND2,After 10+2 (12th),integrated b tech m tech urban and regional planning,HIGH,Exact normalized match.
P722-NNJ,After 10+2 (12th),b sc interior and furniture design,HIGH,Exact normalized match.
P742-NN1,After 10+2 (12th),b design interior and furniture,HIGH,Exact normalized match.
P742-NN2,After 10+2 (12th),b design product and industrial,HIGH,Exact normalized match.
P742-NNM,After 10+2 (12th),b design ui ux,HIGH,Exact normalized match.
P722-NNF,After 10+2 (12th),b sc fashion design,HIGH,Exact normalized match.
P742-NN3,After 10+2 (12th),b design fashion including with international credit transfer option,HIGH,Exact normalized match.
P742-YN3,After 10+2 (12th),b design fashion including with international credit transfer option,HIGH,Exact normalized match.
P722-NNL,After 10+2 (12th),b sc animation and vfx design,HIGH,Exact normalized match.
P742-NNL,After 10+2 (12th),b design animation and vfx,HIGH,Exact normalized match.
P722-NNG,After 10+2 (12th),b sc gaming design,HIGH,Exact normalized match.
P742-NN8,After 10+2 (12th),b design gaming,HIGH,Exact normalized match.
P722-NNH,After 10+2 (12th),b sc graphics design,HIGH,Exact normalized match.
P742-NN5,After 10+2 (12th),b design graphics,HIGH,Exact normalized match.
P421,After 10+2 (12th),b a fine arts,HIGH,Exact normalized match.
P441,After 10+2 (12th),bachelor of fine arts bfa,HIGH,Exact normalized match.
P724,After 10+2 (12th),b a journalism and mass communication,HIGH,Exact normalized match.
P727,After 10+2 (12th),b sc film and tv production,HIGH,Exact normalized match.
P742-NN6,After 10+2 (12th),b design film and tv production,HIGH,Exact normalized match.
P41B,After 10+2 (12th),diploma in library and information sciences,HIGH,Exact normalized match.
P422-NN5,After 10+2 (12th),b a music vocal theatre,HIGH,Exact normalized match.
P422-NN7,After 10+2 (12th),b a music vocal theatre,HIGH,Exact normalized match.
P442-NN5,After 10+2 (12th),bpa music vocal theatre,HIGH,Exact normalized match.
P442-NN7,After 10+2 (12th),bpa music vocal theatre,HIGH,Exact normalized match.
P44G-HN2,After 10+2 (12th),bachelor in clinical psychology b clin psy,HIGH,Exact normalized match.
P44A-NN3,After 10+2 (12th),bachelor of psychology b psy,HIGH,Exact normalized match.
P420,After 10+2 (12th),bachelor of arts b a,HIGH,Exact normalized match.
P440-HN4,After 10+2 (12th),b a hons hons with research,HIGH,Exact normalized match.
P420-NN7,After 10+2 (12th),b a social science,HIGH,Exact normalized match.
P42K,After 10+2 (12th),bachelor of social work bsw,HIGH,Exact normalized match.
P44K-H,After 10+2 (12th),bachelor of social work hons hons with research,HIGH,Exact normalized match.
P42I,After 10+2 (12th),b sc public policy,HIGH,Exact normalized match.
P622,After 10+2 (12th),b sc health and physical education,HIGH,Exact normalized match.
P625,After 10+2 (12th),bachelor of physical education and sports bpes,HIGH,Exact normalized match.
P49M-NK2,After 10+2 (12th),b a b ed spl ed multiple disability preparatory stage isitep,HIGH,Exact normalized match.
P490-NK5,After 10+2 (12th),b a b ed secondary stage four year integrated teacher education programme itep,HIGH,Exact normalized match.
P29A-NKF,After 10+2 (12th),b sc b ed secondary stage four year integrated teacher education programme itep,HIGH,Exact normalized match.
P540-NNN-D,After 10+2 (12th),b pharm,HIGH,Exact normalized match.
P5K0-NNKA,After 10+2 (12th),pharm d doctor of pharmacy,HIGH,Exact normalized match.
P542-NNCA,After 10+2 (12th),bachelor of physiotherapy b pt,HIGH,Exact normalized match.
P541-NNJ,After 10+2 (12th),bachelor of medical laboratory science,HIGH,Exact normalized match.
P541-NNK,After 10+2 (12th),bachelor of anaesthesia and operation theatre technology,HIGH,Exact normalized match.
P541-NND,After 10+2 (12th),bachelor of optometry,HIGH,Exact normalized match.
P541-NNH,After 10+2 (12th),bachelor of cardiovascular technology,HIGH,Exact normalized match.
P541-NNE,After 10+2 (12th),bachelor of medical radiology and imaging technology,HIGH,Exact normalized match.
P548,After 10+2 (12th),b sc clinical embryology,HIGH,Exact normalized match.
P105-L,Lateral Entry/Other Programmes(After ITI etc),diploma engg lateral entry no integrated,HIGH,Exact normalized match.
P102-L,Lateral Entry/Other Programmes(After ITI etc),diploma engg lateral entry no integrated,HIGH,Exact normalized match.
P102-LNP,Lateral Entry/Other Programmes(After ITI etc),diploma engg lateral entry no integrated,HIGH,Exact normalized match.
P108-L,Lateral Entry/Other Programmes(After ITI etc),diploma engg lateral entry no integrated,HIGH,Exact normalized match.
P107-L,Lateral Entry/Other Programmes(After ITI etc),diploma engg lateral entry no integrated,HIGH,Exact normalized match.
P135-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P132-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P132-LNP,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Closest eligibility row by name similarity with branch awareness.
P133-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),bsc it lateral entry,HIGH,Exact normalized match.
P138-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P138-LN1,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P137-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P137-LN1,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech construction technology lateral entry,HIGH,Exact normalized match.
P136-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P13A-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P13AF-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P131-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P13Q-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P139-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P13E-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P13C-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P13O-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b tech lateral entry,HIGH,Exact normalized match.
P124-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),bca lateral entry,HIGH,Exact normalized match.
P123-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),bsc it lateral entry,HIGH,Exact normalized match.
P321-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),bba lateral entry,HIGH,Exact normalized match.
P322-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b com lateral entry,HIGH,Exact normalized match.
P324-LN8,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b sc hotel and hospitality management lateral entry,HIGH,Exact normalized match.
P344-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),bhmct lateral entry,HIGH,Exact normalized match.
P325-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b sc airlines tourism and hospitality lateral entry,HIGH,Exact normalized match.
P722-LNJ,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b sc interior and furniture design lateral entry,HIGH,Exact normalized match.
P742-LN1,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b design interior and furniture lateral entry,HIGH,Exact normalized match.
P742-LN2,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b design product and industrial lateral entry,HIGH,Exact normalized match.
P742-LNM,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b design ui ux lateral entry,HIGH,Exact normalized match.
P722-LNF,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b sc fashion design lateral entry,HIGH,Exact normalized match.
P742-LN3,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b design fashion lateral entry,HIGH,Exact normalized match.
P540-LNN-D,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b pharm lateral entry,HIGH,Exact normalized match.
P542-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),bpt lateral entry,HIGH,Exact normalized match.
P521-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b sc medical radiology and imaging technology lateral entry,HIGH,Closest eligibility row by name similarity with branch awareness.
P521-LN5,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b sc optometry lateral entry,HIGH,Exact normalized match.
P521-LN6,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b sc anaesthesia and operation theatre technology lateral entry,HIGH,Exact normalized match.
P521-LNC,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b sc medical radiology and imaging technology lateral entry,HIGH,Exact normalized match.
P521-LN7,Lateral Entry/Other Programmes(After 3 yrs. Diploma),b sc cardiovascular technology lateral entry,HIGH,Exact normalized match.
P371-NNAF,After Graduation,mba 1 1 with international credit transfer option,HIGH,Exact normalized match.
P371-YNAF,After Graduation,mba 1 1 with international credit transfer option,HIGH,Exact normalized match.
P370-NN2F,After Graduation,mba international business,HIGH,Exact normalized match.
P370-NN3F,After Graduation,mba hospital and healthcare management,HIGH,Exact normalized match.
P370-NNAF,After Graduation,mba digital and social media marketing,HIGH,Exact normalized match.
P370-NNBF,After Graduation,mba business analytics,HIGH,Exact normalized match.
P370-NN7F,After Graduation,mba supply chain and logistics,HIGH,Exact normalized match.
P370-NN6F,After Graduation,mba financial markets,HIGH,Exact normalized match.
P370-NNAB,After Graduation,mba data science and artificial intelligence,HIGH,Exact normalized match.
P370-NNZ,After Graduation,mba fintech and artificial intelligence,HIGH,Exact normalized match.
P362,After Graduation,m com,HIGH,Exact normalized match.
P363,After Graduation,m sc economics,HIGH,Exact normalized match.
P363-NN-1,After Graduation,m a economics,HIGH,Exact normalized match.
P4AE,After Graduation,ll b,HIGH,Exact normalized match.
P4BE-NN1,After Graduation,ll b,HIGH,Exact normalized match.
P375-NN3,After Graduation,mba tourism aviation and hospitality,HIGH,Exact normalized match.
P762-NNJ,After Graduation,m sc interior and furniture design,HIGH,Exact normalized match.
P772-NN1,After Graduation,m design interior and furniture,HIGH,Exact normalized match.
P762-NNM,After Graduation,m sc ui ux design,HIGH,Exact normalized match.
P762-NNF,After Graduation,m sc fashion design,HIGH,Exact normalized match.
P762-NNP,After Graduation,master of fashion management mfm,HIGH,Exact normalized match.
P762-NNL,After Graduation,m sc animation and vfx design,HIGH,Exact normalized match.
P471,After Graduation,master of fine arts mfa,HIGH,Exact normalized match.
P764,After Graduation,m a journalism and mass communication,HIGH,Exact normalized match.
P767,After Graduation,m sc film and tv production,HIGH,Exact normalized match.
P472,After Graduation,master of performing arts mpa,HIGH,Exact normalized match.
P466,After Graduation,m a history,HIGH,Exact normalized match.
P46A,After Graduation,m a psychology,HIGH,Exact normalized match.
P46C,After Graduation,m a applied psychology,HIGH,Exact normalized match.
P46G-NN2A,After Graduation,master in clinical psychology m clin psy,HIGH,Exact normalized match.
P46A-NN5,After Graduation,m a counselling psychology,HIGH,Exact normalized match.
P46A-NN2,After Graduation,m sc forensic psychology,HIGH,Exact normalized match.
P467,After Graduation,m a sociology,HIGH,Exact normalized match.
P46K,After Graduation,master of social work msw,HIGH,Exact normalized match.
P468,After Graduation,m a political science,HIGH,Exact normalized match.
P46I-NN1,After Graduation,m sc public policy,HIGH,Exact normalized match.
P469-NN1,After Graduation,m sc geography,HIGH,Exact normalized match.
P463,After Graduation,m a english,HIGH,Exact normalized match.
P4AB,After Graduation,bachelors of library and information sciences b lib i sc,HIGH,Exact normalized match.
P4BB,After Graduation,bachelors of library and information sciences b lib i sc,HIGH,Exact normalized match.
P465,After Graduation,m a punjabi hindi,HIGH,Exact normalized match.
P464,After Graduation,m a punjabi hindi,HIGH,Exact normalized match.
P6A1,After Graduation,b ed,HIGH,Exact normalized match.
P661,After Graduation,m a education,HIGH,Exact normalized match.
P6A2,After Graduation,b p ed,HIGH,Exact normalized match.
P6B2,After Graduation,b p ed,HIGH,Exact normalized match.
